  临江 134600 吉林,白山,临江 41.812005 126.918138 101060903    
  东岗  吉林,白山,东岗 41.944796 126.443398 101060904    
  长白  吉林,白山,长白 41.420050 128.200821 101060905    
  抚松 134500 吉林,白山,抚松 42.341935 127.280736 101060906    
  江源 134700 吉林,白山,江源 42.056773 126.591144 101060907    
  沈阳 110000 辽宁,沈阳,沈阳 41.805698 123.431475 101070101    
  辽中 110200 辽宁,沈阳,辽中 41.516827 122.765409 101070103    
  康平 110500 辽宁,沈阳,康平 42.749950 123.353519 101070104    
  法库 110400 辽宁,沈阳,法库 42.503973 123.408679 101070105    
  新民 110300 辽宁,沈阳,新民 42.002695 122.817556 101070106    
  大连 116000 辽宁,大连,大连 38.914003 121.614682 101070201    
  瓦房店 116300 辽宁,大连,瓦房店 39.627114 121.979603 101070202    
  金州 116100 辽宁,大连,金州 39.050460 121.782769 101070203    
  普兰店 116200 辽宁,大连,普兰店 39.401847 121.959791 101070204    
  旅顺  辽宁,大连,旅顺 38.851705 121.261953 101070205    
  长海 116500 辽宁,大连,长海 39.272728 122.588494 101070206    
  庄河 116400 辽宁,大连,庄河 39.681237 122.967062 101070207    
  鞍山 114000 辽宁,鞍山,鞍山 41.108647 122.994329 101070301    
  台安 114100 辽宁,鞍山,台安 41.412768 122.436196 101070302    
  岫岩  辽宁,鞍山,岫岩 40.290880 123.280935 101070303    
  海城 114200 辽宁,鞍山,海城 40.882377 122.685217 101070304    
  抚顺 113000 辽宁,抚顺,抚顺 41.880872 123.957208 101070401    
  新宾  辽宁,抚顺,新宾 41.734256 125.039978 101070402    
  清原  辽宁,抚顺,清原 42.100539 124.924083 101070403    
  章党  辽宁,抚顺,章党 41.908276 124.078071 101070404    
  本溪 117000 辽宁,本溪,本溪 41.294176 123.766485 101070501    
  本溪县  辽宁,本溪,本溪县 41.294176 123.766485 101070502    
  桓仁  辽宁,本溪,桓仁 41.267128 125.361007 101070504    
  丹东 118000 辽宁,丹东,丹东 40.000500 124.354707 101070601    
  凤城 118100 辽宁,丹东,凤城 40.452322 124.066895 101070602    
  宽甸  辽宁,丹东,宽甸 40.731317 124.783660 101070603    
  东港 276800 辽宁,丹东,东港 39.863008 124.152705 101070604    
  锦州 121000 辽宁,锦州,锦州 41.095120 121.127004 101070701    
  凌海 121200 辽宁,锦州,凌海 41.173400 121.357730 101070702    
  义县 121100 辽宁,锦州,义县 41.533087 121.239080 101070704    
  黑山 121400 辽宁,锦州,黑山 41.694147 122.120901 101070705    
  北镇  辽宁,锦州,北镇 41.594744 121.798685 101070706    
  营口 115000 辽宁,营口,营口 40.667012 122.235418 101070801    
  大石桥 115100 辽宁,营口,大石桥 40.644622 122.509131 101070802    
  盖州 115200 辽宁,营口,盖州 40.400490 122.348784 101070803    
  阜新 123000 辽宁,阜新,阜新 42.021619 121.670324 101070901    
  彰武 123200 辽宁,阜新,彰武 42.386543 122.538793 101070902    
  辽阳 111000 辽宁,辽阳,辽阳 41.267244 123.236944 101071001    
  辽阳县 111200 辽宁,辽阳,辽阳县 41.205329 123.105695 101071002    
  灯塔 111300 辽宁,辽阳,灯塔 41.426372 123.339312 101071003    
  弓长岭 111008 辽宁,辽阳,弓长岭 41.151847 123.419804 101071004    
  铁岭 112000 辽宁,铁岭,铁岭 42.222970 123.726163 101071101    
  开原 112300 辽宁,铁岭,开原 42.546307 124.038268 101071102    
  昌图 112500 辽宁,铁岭,昌图 42.785798 124.111098 101071103    
  西丰 112400 辽宁,铁岭,西丰 42.738230 124.727072 101071104    
  调兵山 112700 辽宁,铁岭,调兵山 42.467873 123.567290 101071105    
  朝阳 122000 辽宁,朝阳,朝阳 41.573734 120.450372 101071201    
  凌源 122500 辽宁,朝阳,凌源 41.245445 119.401574 101071203    
  喀左  辽宁,朝阳,喀左 41.128150 119.741223 101071204    
  北票 122100 辽宁,朝阳,北票 41.800684 120.770730 101071205    
  建平县 122400 辽宁,朝阳,建平县 41.403128 119.643280 101071207    
  盘锦 124000 辽宁,盘锦,盘锦 41.119997 122.070714 101071301    
  大洼 124200 辽宁,盘锦,大洼 41.002240 122.082971 101071302    
  盘山 124000 辽宁,盘锦,盘山 41.242937 121.996640 101071303    
  葫芦岛 125000 辽宁,葫芦岛,葫芦岛 40.711052 120.836932 101071401    
  建昌 125300 辽宁,葫芦岛,建昌 40.824368 119.837124 101071402    
  绥中 125200 辽宁,葫芦岛,绥中 40.325659 120.344229 101071403    
  兴城 125100 辽宁,葫芦岛,兴城 40.614763 120.728310 101071404    
  呼和浩特 010000 内蒙古,呼和浩特,呼和浩特 40.842585 111.749181 101080101    
  土左旗  内蒙古,呼和浩特,土左旗 40.730093 111.180298 101080102    
  和林  内蒙古,呼和浩特,和林 40.478070 111.798300 101080104    
  清水河 011600 内蒙古,呼和浩特,清水河 39.908661 111.686435 101080105    
  呼市郊区  内蒙古,呼和浩特,呼市郊区 40.804250 111.682278 101080106    
  武川 011700 内蒙古,呼和浩特,武川 41.096471 111.451303 101080107    
  包头 014000 内蒙古,包头,包头 40.657449 109.840347 101080201    
  白云鄂博  内蒙古,包头,白云鄂博 41.769512 109.973803 101080202    
  土右旗  内蒙古,包头,土右旗 40.568815 110.527362 101080204    
  固阳 014200 内蒙古,包头,固阳 41.034106 110.060514 101080205    
  达茂旗  内蒙古,包头,达茂旗 41.698992 110.432626 101080206    
  乌海 016000 内蒙古,乌海,乌海 39.655389 106.794249 101080301    
  集宁 012000 内蒙古,乌兰察布,集宁 40.990689 113.123779 101080401    
  卓资 012300 内蒙古,乌兰察布,卓资 40.894692 112.577528 101080402    
  化德 013350 内蒙古,乌兰察布,化德 41.904560 114.010438 101080403    
  商都 013450 内蒙古,乌兰察布,商都 41.562113 113.577816 101080404    
  兴和 013650 内蒙古,乌兰察布,兴和 40.872301 113.834173 101080406    
  凉城 013750 内蒙古,乌兰察布,凉城 40.531555 112.503971 101080407    
  察右前旗  内蒙古,乌兰察布,察右前旗 40.785631 113.214733 101080408    
  察右中旗  内蒙古,乌兰察布,察右中旗 41.277462 112.635577 101080409    
  察右后旗  内蒙古,乌兰察布,察右后旗 41.436069 113.191035 101080410    
  四子王旗 011800 内蒙古,乌兰察布,四子王旗 41.533462 111.706618 101080411    
  通辽 028000 内蒙古,通辽,通辽 43.652539 122.240549 101080501    
  开鲁 028400 内蒙古,通辽,开鲁 43.601189 121.319389 101080506    
  赤峰 024000 内蒙古,赤峰,赤峰 42.257817 118.886856 101080601    
  阿鲁旗  内蒙古,赤峰,阿鲁旗 43.872299 120.065700 101080603    
  浩尔吐  内蒙古,赤峰,浩尔吐 44.452736 119.299769 101080604    
  林西 025250 内蒙古,赤峰,林西 43.618120 118.055450 101080607    
  翁牛特  内蒙古,赤峰,翁牛特 42.931619 119.030246 101080609    
  宁城 024200 内蒙古,赤峰,宁城 41.594146 119.342836 101080613    
  敖汉  内蒙古,赤峰,敖汉 42.290782 119.921604 101080614    
  鄂尔多斯  内蒙古,鄂尔多斯,鄂尔多斯 39.608266 109.781327 101080701    
  达拉特  内蒙古,鄂尔多斯,达拉特 40.400409 110.032994 101080703    
  鄂前旗  内蒙古,鄂尔多斯,鄂前旗 38.182362 107.477515 101080705    
  鄂托克  内蒙古,鄂尔多斯,鄂托克 39.089533 107.976030 101080708    
