areaid	FORECAST_TIME	day_rehumidity	night_rehumidity
101120703	2015-06-20 19:00:00	62	77
101120703	2015-06-21 19:00:00	56	81
101120703	2015-06-22 19:00:00	62	81
101120703	2015-06-23 19:00:00	75	93
101120703	2015-06-24 19:00:00	91	99
101120703	2015-06-25 19:00:00	89	99
101120703	2015-06-26 19:00:00	80	96
101120703	2015-06-27 19:00:00	84	99
101120703	2015-06-28 19:00:00	82	97
101280103	2015-06-19 19:00:00	73	89
101280103	2015-06-20 19:00:00	73	91
101280103	2015-06-21 19:00:00	79	90
101280103	2015-06-22 19:00:00	76	89
101280103	2015-06-23 19:00:00	80	90
101280103	2015-06-24 19:00:00	86	93
101280103	2015-06-25 19:00:00	83	92
101280103	2015-06-26 19:00:00	80	90
101280103	2015-06-27 19:00:00	79	89
101280103	2015-06-28 19:00:00	78	89
101270104	2015-06-19 19:00:00	67	77
101270104	2015-06-20 19:00:00	78	82
101270104	2015-06-21 19:00:00	57	73
101270104	2015-06-22 19:00:00	61	80
101270104	2015-06-23 19:00:00	73	80
101270104	2015-06-24 19:00:00	58	74
101270104	2015-06-25 19:00:00	57	75
101270104	2015-06-26 19:00:00	62	82
101270104	2015-06-27 19:00:00	67	84
101270104	2015-06-28 19:00:00	68	82
101121007	2015-06-19 19:00:00	66	92
101121007	2015-06-20 19:00:00	56	76
101121007	2015-06-21 19:00:00	54	81
101121007	2015-06-22 19:00:00	56	78
101121007	2015-06-23 19:00:00	68	96
101121007	2015-06-24 19:00:00	83	97
101121007	2015-06-25 19:00:00	80	99
101121007	2015-06-26 19:00:00	75	96
101121007	2015-06-27 19:00:00	78	96
101121007	2015-06-28 19:00:00	75	94
101191003	2015-06-19 19:00:00	67	93
101191003	2015-06-20 19:00:00	70	86
101191003	2015-06-21 19:00:00	72	86
101191003	2015-06-22 19:00:00	70	91
101191003	2015-06-23 19:00:00	82	93
101191003	2015-06-24 19:00:00	94	97
101191003	2015-06-25 19:00:00	91	98
101191003	2015-06-26 19:00:00	83	94
101191003	2015-06-27 19:00:00	86	98
101191003	2015-06-28 19:00:00	81	95
101270111	2015-06-19 19:00:00	67	77
101270111	2015-06-20 19:00:00	78	82
101270111	2015-06-21 19:00:00	57	73
101270111	2015-06-22 19:00:00	61	80
101270111	2015-06-23 19:00:00	73	80
101270111	2015-06-24 19:00:00	58	74
101270111	2015-06-25 19:00:00	57	75
101270111	2015-06-26 19:00:00	62	82
101270111	2015-06-27 19:00:00	67	84
101270111	2015-06-28 19:00:00	68	82
101270107	2015-06-19 19:00:00	67	77
101270107	2015-06-20 19:00:00	78	82
101270107	2015-06-21 19:00:00	57	73
101270107	2015-06-22 19:00:00	61	80
101270107	2015-06-23 19:00:00	73	80
101270107	2015-06-24 19:00:00	58	74
101270107	2015-06-25 19:00:00	57	75
101270107	2015-06-26 19:00:00	62	82
101270107	2015-06-27 19:00:00	67	84
101270107	2015-06-28 19:00:00	68	82
101290206	2015-06-19 19:00:00	68	86
101290206	2015-06-20 19:00:00	66	81
101290206	2015-06-21 19:00:00	68	84
101290206	2015-06-22 19:00:00	67	83
101290206	2015-06-23 19:00:00	65	81
101290206	2015-06-24 19:00:00	65	80
101290206	2015-06-25 19:00:00	66	83
101290206	2015-06-26 19:00:00	71	84
101290206	2015-06-27 19:00:00	73	83
101290206	2015-06-28 19:00:00	72	82
101170201	2015-06-19 19:00:00	19	33
101170201	2015-06-20 19:00:00	41	57
101170201	2015-06-21 19:00:00	44	52
101170201	2015-06-22 19:00:00	38	53
101170201	2015-06-23 19:00:00	56	67
101170201	2015-06-24 19:00:00	52	62
101170201	2015-06-25 19:00:00	42	50
101170201	2015-06-26 19:00:00	37	50
101170201	2015-06-27 19:00:00	38	50
101170201	2015-06-28 19:00:00	39	52
101060301	2015-06-19 19:00:00	66	89
101060301	2015-06-20 19:00:00	56	89
101060301	2015-06-21 19:00:00	59	88
101060301	2015-06-22 19:00:00	56	89
101060301	2015-06-23 19:00:00	59	87
101060301	2015-06-24 19:00:00	58	91
101060301	2015-06-25 19:00:00	65	90
101060301	2015-06-26 19:00:00	62	87
101060301	2015-06-27 19:00:00	61	86
101060301	2015-06-28 19:00:00	59	83
101200104	2015-06-19 19:00:00	69	85
101200104	2015-06-20 19:00:00	69	83
101200104	2015-06-21 19:00:00	87	93
101200104	2015-06-22 19:00:00	80	93
101200104	2015-06-23 19:00:00	86	93
